gene_id,gene_name,gene_type,Pat1,Pat2,Pat3,Pat4,Pat5,Pat6,Pat7,Pat8,Pat9,Pat10
ENSG00000000003,TSPAN6,protein_coding,16,4,0,32,0,12,267,79,34,17
ENSG00000000005,TNMD,protein_coding,1,0,0,0,0,3,1,1,0,0
ENSG00000000419,DPM1,protein_coding,769,1045,429,845,906,699,556,1018,374,529
ENSG00000000457,SCYL3,protein_coding,662,660,332,760,724,780,793,768,732,773
ENSG00000000460,C1orf112,protein_coding,444,740,412,617,446,1024,1044,1012,420,528
ENSG00000000938,FGR,protein_coding,2626,15295,277,2454,513,435,1053,2721,826,7223
ENSG00000000971,CFH,protein_coding,347,24,344,840,3213,276,1942,2708,12,349
ENSG00000001036,FUCA2,protein_coding,716,1284,591,984,963,445,503,645,151,299
ENSG00000001084,GCLC,protein_coding,2096,3738,618,1361,912,1376,2642,4461,640,1601
ENSG00000001167,NFYA,protein_coding,3099,1941,978,2192,2854,3154,2397,3016,2291,1763
ENSG00000001460,STPG1,protein_coding,166,366,415,292,548,219,222,264,89,156
ENSG00000001461,NIPAL3,protein_coding,1889,2094,1812,2416,3315,1852,3228,2433,2048,1739
ENSG00000001497,LAS1L,protein_coding,2953,2175,1109,2229,2609,2503,5020,2991,1798,1723
ENSG00000001561,ENPP4,protein_coding,520,1791,298,443,306,748,1064,1135,312,707
ENSG00000001617,SEMA3F,protein_coding,4,95,95,15,15,85,53,112,3,58
ENSG00000001626,CFTR,protein_coding,1,0,0,0,0,1,5,0,3,1
ENSG00000001629,ANKIB1,protein_coding,1895,2445,1102,2095,2622,2122,3883,1992,2052,1783
ENSG00000001630,CYP51A1,protein_coding,41,67,9,54,55,27,33,37,48,29
ENSG00000001631,KRIT1,protein_coding,388,493,342,344,485,462,601,372,327,420
ENSG00000002016,RAD52,protein_coding,1204,1432,814,1299,1570,1409,1619,1105,1557,1403
ENSG00000002079,MYH16,transcribed_unitary_pseudogene,21,15,37,24,8,34,24,7,9,38
ENSG00000002330,BAD,protein_coding,171,200,119,134,138,185,145,159,180,138
ENSG00000002549,LAP3,protein_coding,2186,2319,862,2149,1393,1503,1324,2053,682,649
ENSG00000002586,CD99,protein_coding,7166,3524,35391,9679,26488,20304,3084,3074,4837,3481
ENSG00000002586,CD99,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000002587,HS3ST1,protein_coding,87,15,7,2,0,85,17,61,417,6
ENSG00000002726,AOC1,protein_coding,155,15,404,32,43,17,75,95,5,17
ENSG00000002745,WNT16,protein_coding,34,59,2,6,8,30,23,70,22,26
ENSG00000002746,HECW1,protein_coding,4,3,3,1,3,1,6,1,2,5
ENSG00000002822,MAD1L1,protein_coding,73,152,87,54,121,152,191,103,130,135
ENSG00000002834,LASP1,protein_coding,4756,6159,9406,6611,10005,5451,4809,6137,3953,5743
ENSG00000002919,SNX11,protein_coding,555,1617,525,678,1264,946,1127,862,682,791
ENSG00000002933,TMEM176A,protein_coding,77,27,408,229,32,37,49,227,28,74
ENSG00000003056,M6PR,protein_coding,3259,5536,2131,2961,4001,3380,4162,4271,1450,2559
ENSG00000003096,KLHL13,protein_coding,59,66,134,177,144,23,746,64,177,122
ENSG00000003137,CYP26B1,protein_coding,8,1,1,0,1,2,433,46,5,7
ENSG00000003147,ICA1,protein_coding,989,654,19,151,759,346,799,369,24,907
ENSG00000003249,DBNDD1,protein_coding,66,38,12,8,126,32,63,163,24,58
ENSG00000003393,ALS2,protein_coding,2884,749,3468,2171,5968,9031,4014,7769,697,2590
ENSG00000003400,CASP10,protein_coding,3063,1652,1724,3151,2789,2564,2523,2737,1236,2028
ENSG00000003402,CFLAR,protein_coding,6590,7296,5130,6789,8053,8595,6564,9480,5389,14224
ENSG00000003436,TFPI,protein_coding,1268,136,2771,1373,62,3607,1442,2351,4058,1226
ENSG00000003509,NDUFAF7,protein_coding,451,554,225,606,526,507,712,831,417,578
ENSG00000003756,RBM5,protein_coding,3728,7458,4223,7142,9656,7781,8572,7181,5499,9948
ENSG00000003987,MTMR7,protein_coding,418,215,214,250,480,249,182,305,345,401
ENSG00000003989,SLC7A2,protein_coding,61,0,4,2,12,76,62,192,16,101
ENSG00000004059,ARF5,protein_coding,1543,1593,1304,1252,2459,1055,1043,668,639,1241
ENSG00000004139,SARM1,protein_coding,135,501,178,467,95,208,984,347,720,679
ENSG00000004142,POLDIP2,protein_coding,1714,2612,2823,1851,2065,1906,2199,1984,834,1230
ENSG00000004399,PLXND1,protein_coding,24332,9447,20704,9485,11436,17313,10922,7319,12092,16296
ENSG00000004455,AK2,protein_coding,6894,21683,2315,8234,6051,4817,5348,5834,3612,3906
ENSG00000004468,CD38,protein_coding,4581,4419,10015,3607,2950,21622,4076,7403,2698,4591
ENSG00000004478,FKBP4,protein_coding,5843,1633,2194,2598,3130,3699,3305,2457,1306,1609
ENSG00000004487,KDM1A,protein_coding,3867,3573,2570,3549,4079,3909,3935,4791,3468,3154
ENSG00000004534,RBM6,protein_coding,3336,5438,3227,4531,5821,5801,5049,5708,3865,4865
ENSG00000004660,CAMKK1,protein_coding,232,769,471,423,1226,550,509,252,879,557
ENSG00000004700,RECQL,protein_coding,719,1522,183,1016,1028,880,927,1070,601,661
ENSG00000004766,VPS50,protein_coding,660,910,251,768,858,645,1019,1501,417,633
ENSG00000004776,HSPB6,protein_coding,8,27,22,2,5,7,14,24,4,25
ENSG00000004777,ARHGAP33,protein_coding,1643,2022,621,1338,1495,1244,1440,1236,1981,2604
ENSG00000004779,NDUFAB1,protein_coding,809,1073,785,824,933,901,587,910,347,373
ENSG00000004799,PDK4,protein_coding,212,858,34,49,56,49,257,618,18,187
ENSG00000004809,SLC22A16,protein_coding,1662,784,1139,938,2613,2292,1124,1426,498,941
ENSG00000004838,ZMYND10,protein_coding,29,150,42,45,257,26,62,45,39,139
ENSG00000004846,ABCB5,protein_coding,3,1,0,2,0,3,10,3,1,3
ENSG00000004848,ARX,protein_coding,4,1,0,1,1,1,3,2,0,2
ENSG00000004864,SLC25A13,protein_coding,660,919,480,614,732,789,1773,535,475,545
